Funds,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Motilal oswal small cap fund,8.34,,,,,,,,,,,
Quantum small cap fund,3.13,5.08,,,,,,,,,,
Lic mf small cap fund,7.81,16.0,,,,,,,,,,
Mahindra manulife small cap fund,9.69,60.02,-0.93,,,,,,,,,
Pgim india small cap fund,3.85,25.85,-3.47,13.92,,,,,,,,
Uti small cap fund,1.12,37.3,1.18,58.49,1.15,,,,,,,
Bandhan small cap fund,10.84,55.84,-4.59,55.09,51.5,,,,,,,
Edelweiss small cap fund,5.17,44.34,3.4,70.21,36.94,12.59,,,,,,
Canara robeco small cap fund,5.54,34.1,8.64,73.82,44.27,-3.83,,,,,,
Bank of india small cap fund direct  growth,5.88,42.84,0.1,73.69,55.11,6.27,0.3,,,,,
Tata small cap fund,7.45,35.63,10.29,73.57,25.32,4.32,2.84,,,,,
Invesco india smallcap fund,8.08,46.1,0.91,64.98,26.84,5.68,3.17,,,,,
Hdfc small cap fund,6.99,46.17,5.64,66.49,21.38,-8.7,-8.2,60.54,6.78,7.8,22.07,
Union small cap fund,2.23,42.97,-0.02,68.82,31.1,2.17,-21.32,41.9,-2.23,3.03,21.38,
Sbi small cap fund,9.04,26.63,9.29,49.11,35.18,6.42,-20.81,77.83,2.65,22.29,112.77,4.79
Axis small cap fund,4.62,35.56,4.1,60.72,24.57,19.75,-8.91,38.24,5.13,10.92,86.53,1.3
Quant small cap fund,16.02,48.04,11.19,91.7,76.13,-24.03,2.59,4.69,10.22,7.96,11.8,7.75
Icici prudential smallcap fund,4.61,39.48,7.17,63.29,24.68,10.12,-21.29,43.68,12.08,-0.81,48.43,1.85
Kotak Small Cap Fund,3.83,36.52,-1.72,73.47,36.14,6.22,-17.6,44.98,10.57,8.94,75.37,-12.4
Sundaram small cap fund direct,4.96,46.91,-0.91,66.64,27.36,-5.78,-30.16,53.57,0.14,8.19,110.58,-12.68
Aditya birla sun life small cap fund,4.77,40.87,-5.49,52.88,21.23,-10.46,-22.96,56.4,10.56,14.32,67.94,-3.06
Dsp  small cap fund,3.51,42.45,1.36,60.3,34.32,1.44,-26.42,43.37,13.57,21.23,103.13,-4.28
Nippon india small cap fund,6.56,50.17,7.53,75.87,30.35,-0.17,-17.64,63.68,6.75,16.06,99.31,4.06
Franklin india smaller companies fund,6.64,53.47,4.42,57.68,19.7,-4.46,-17.68,43.98,11.52,11.3,91.8,5.02
